
#Source name ,Components,$\alpha_{2000}$ ,$\delta_{2000}$ ,$\sigma_{p 95 stat}$ ,$r_{39}$ ,TS ,$N_0$ ,$\Gamma$ ,TS$_{100}$,Asso.(Sep.[$^{\circ}$])


 , WCDA , 336.79 , 61.02 , 0.05 , 0.25$\pm$0.02 , 576.0 , 2.37$\pm$0.16 , 2.26$\pm$0.04 , ,  

1LHAASOJ2229$+$5927u , WCDA , 337.26 , 59.45 , 0.36 , 1.98$\pm$0.10 , 228.0 , 14.90$\pm$0.99 , 2.67$\pm$0.05 , , 
 , KM2A* , 337.88 , 59.55 , 0.46 , 1.74$\pm$0.16 , 163.8 , 4.43$\pm$0.36 , 3.53$\pm$0.11 , 31.4 , 

 1LHAASOJ2238$+$5900 , KM2A , 339.54 , 59.00 , 0.09 , 0.43$\pm$0.03 , 353.4 , 2.03$\pm$0.12 , 3.55$\pm$0.09 , ,  
 , WCDA* , 339.40 , 58.92 , 0.18 , 0.51$\pm$0.04 , 110.2 , 1.91$\pm$0.26 , 2.39$\pm$0.07 , ,  

1LHAASOJ2323$+$5854 , WCDA , 350.80 , 58.90 , 0.14 , $<$0.24 , 50.4 , 1.10$\pm$0.17 , 3.18$\pm$0.16 , ,   Cassiopeia A          (0.10)
 , KM2A , , , , , , $<$0.15 , , , 

1LHAASOJ2346$+$5138 , WCDA , 356.70 , 51.64 , 0.12 , $<$0.16 , 47.6 , 0.57$\pm$0.09 , 3.26$\pm$0.17 , ,   1ES 2344+514          (0.08)
 , KM2A , , , , , , $<$0.07 , , , 
